brancher concentration,motor concentration,linker concentration,avalanche time,time,mean displacement,rg,shape,density,clique number,average clustering,mean closeness,mean betweenness,assortativity,avalanche,prediction
0.02,0.5,0.01,520,510,24.281836505737502,0.30691426344071504,0.0010243038178889999,0.001544367664802,4,0.16633761105626801,0.000731194231781,1.40490512037216e-06,0.801275965786611,0,0
0.02,0.5,0.01,530,520,31.738023452259196,0.29872563392541496,0.0016907990502449998,0.001561995959184,6,0.189601650606082,0.0007330193157619999,9.63011446386805e-07,0.8094545414448531,0,0
0.02,0.5,0.01,540,530,25.8046871502698,0.301855050941492,0.0024089017172490004,0.0015580173790110002,5,0.176637051661731,0.0007636073774960001,2.03522171560857e-06,0.808837399180375,0,0
0.02,0.5,0.01,550,540,21.8985217758223,0.302361722819291,0.002186566931494,0.0015521675014929998,4,0.17940111878907503,0.000711501808111,8.832139681818501e-07,0.7790996123796908,0,0
0.02,0.5,0.01,560,550,22.654753735355396,0.303282451961411,0.0020433877511829997,0.001558952329111,4,0.173432343234323,0.0007409060582979999,1.24274455522724e-06,0.796892116608243,0,0
0.02,0.5,0.01,570,560,20.261905137741998,0.30284784731342795,0.002064113783542,0.0015497970434639999,5,0.172586239220097,0.0007170966471810002,1.03535611504478e-06,0.810006437915052,0,0
0.02,0.5,0.01,580,570,26.817696595955802,0.30439008765407,0.003803441351852,0.0015482675831470002,4,0.16964697033798698,0.0007293320238260001,1.2167976458289301e-06,0.791296313761225,0,0
0.02,0.5,0.01,590,580,26.4202037544873,0.307065807886539,0.004373975009395001,0.0015375604395710001,5,0.17533595542445096,0.000697814503387,1.00564495241716e-06,0.7890251950718051,0,0
0.02,0.5,0.01,600,590,24.899838336978398,0.309914540594252,0.003985242347428,0.0015399218156079998,4,0.177158362111495,0.000703766354049,1.04977451763267e-06,0.7986204510873209,0,0
0.02,0.5,0.01,610,600,20.6746267901102,0.311737367433414,0.004565975338058,0.001534284511501,4,0.170687098368759,0.0006883022037730001,1.02771135783866e-06,0.7860471168084879,0,0
0.02,0.5,0.01,620,610,23.670996060174197,0.314154790415695,0.0030301727822579995,0.001513943046201,4,0.148974867724868,0.000658058168569,1.0937068469823099e-06,0.8004590935749559,0,0
0.02,0.5,0.01,630,620,35.6017204010881,0.31152304678347303,0.003981147203122,0.00153662226126,5,0.165631981187537,0.000698336196889,1.10740344429728e-06,0.8011382598260229,0,0
0.02,0.5,0.01,640,630,26.7516087171245,0.311926833317187,0.003375755101427,0.0015546068543089999,4,0.17279181112762101,0.0007217696073810001,1.63617490696321e-06,0.7978034923147391,0,0
0.02,0.5,0.01,650,640,24.621843321946898,0.311872796540593,0.001287829673691,0.001554182904185,5,0.165659068384539,0.0007425930993169999,1.48847082898233e-06,0.7982885596560501,0,0
0.02,0.5,0.01,660,650,26.183454112130104,0.313442193287394,0.00047553620929,0.0015402076417199999,4,0.174068578964721,0.000704441588704,9.676966152002769e-07,0.784620880043717,0,0
0.02,0.5,0.01,690,680,22.8877636023503,0.312695802380617,-0.001011966193297,0.0015417886513760001,5,0.16998349834983498,0.0006907688982339999,9.489474947521259e-07,0.780447298644868,0,0
0.02,0.5,0.01,700,690,22.128040586908604,0.31467464732978,0.00018726470567,0.001536444412374,4,0.168548786527984,0.000682287166805,8.958440922998051e-07,0.805520443718292,0,0
0.02,0.5,0.01,710,700,22.268353978775203,0.31624804624646696,0.0009755578801439999,0.001536712453041,5,0.16788057742782198,0.0006908590552789998,9.04056630775786e-07,0.8027125968606421,0,0
